id,industry,state,request_date,term,employee_count,business_new,business_type,location,other_loans,loan_amount,insured_amount,default_status
4050975007,Others,VA,27-Apr-10,34,4,New,0,Rural,N,"$35,000.00","$35,000.00",1
3735095001,Manufacturing,CA,05-Nov-09,107,1,New,0,Rural,N,"$15,000.00","$13,500.00",1
3936555004,Trading,CA,26-Feb-10,84,1,New,0,Rural,Y,"$265,000.00","$100,000.00",0
4130405000,Engineering,MI,10-Jun-10,240,21,New,0,Rural,N,"$255,000.00","$255,000.00",0
4263615008,Education,NH,23-Sep-10,36,1,Existing,0,Rural,N,"$13,300.00","$6,650.00",0
3822885000,Administration,VA,24-Dec-09,60,42,New,0,Rural,Y,"$40,000.00","$20,000.00",0
3920675000,Manufacturing,WI,19-Feb-10,24,5,Existing,0,Rural,Y,"$65,000.00","$25,000.00",0
4173815005,Others,IL,20-Jul-10,120,1,New,0,Rural,N,"$10,000.00","$8,500.00",0
3879845000,Trading,AZ,29-Jan-10,109,1,Existing,0,Rural,N,"$12,500.00","$11,250.00",1
4262705009,Trading,WA,23-Sep-10,54,3,Existing,0,Rural,N,"$78,700.00","$66,895.00",1
4109275004,Construction,IN,27-May-10,24,11,New,0,Rural,Y,"$75,000.00","$37,500.00",0
3700185004,Construction,TX,19-Oct-09,106,3,New,0,Rural,N,"$12,500.00","$11,250.00",1
3823895005,Trading,KY,24-Dec-09,240,10,New,0,Rural,N,"$250,000.00","$225,000.00",0
4255915004,Manufacturing,PA,17-Sep-10,12,1,New,0,Rural,Y,"$2,000,000.00","$1,500,000.00",0
3726955008,Trading,PA,02-Nov-09,88,2,Existing,0,Rural,N,"$10,000.00","$9,000.00",1
3856665002,Consulting,TX,14-Jan-10,24,2,New,0,Rural,N,"$35,000.00","$35,000.00",1
4002635005,Hotel,ND,01-Apr-10,60,4,Existing,0,Rural,N,"$36,500.00","$32,850.00",0
4041735003,Healthcare,RI,22-Apr-10,24,1,New,0,Rural,N,"$100,000.00","$50,000.00",0
3712675006,Healthcare,CA,23-Oct-09,65,3,New,0,Rural,N,"$25,000.00","$22,500.00",1
4078605003,Trading,NJ,13-May-10,29,2,New,0,Rural,Y,"$50,000.00","$25,000.00",1
3923015007,Consulting,IN,19-Feb-10,64,1,Existing,0,Rural,N,"$15,000.00","$13,500.00",1
4008395006,Others,NV,01-Apr-10,60,5,New,1,Rural,N,"$50,000.00","$25,000.00",0
3753775008,Consulting,NC,17-Nov-09,179,6,New,0,Rural,N,"$1,160,000.00","$1,044,000.00",0
4054655002,Hotel,CA,29-Apr-10,120,1,New,1,Rural,N,"$222,100.00","$199,890.00",0
